query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Apa saja webinar UIB bulan Oktober 2025?,baseline,Delvin,,,,,
Apa saja webinar UIB bulan Oktober 2025?,baseline,Calvin,,,,,
Apa saja webinar UIB bulan Oktober 2025?,engineered,Delvin,,,,,
Apa saja webinar UIB bulan Oktober 2025?,engineered,Calvin,,,,,
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Delvin,,,,,
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Calvin,,,,,
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Delvin,,,,,
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Calvin,,,,,
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Delvin,,,,,
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Calvin,,,,,
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Delvin,,,,,
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Calvin,,,,,
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Delvin,,,,,
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Calvin,,,,,
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Delvin,,,,,
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Calvin,,,,,
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,Delvin,,,,,
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,Calvin,,,,,
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,Delvin,,,,,
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,Calvin,,,,,
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Delvin,,,,,
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Calvin,,,,,
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Delvin,,,,,
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Calvin,,,,,
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Delvin,,,,,
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Calvin,,,,,
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Delvin,,,,,
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Calvin,,,,,
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Delvin,,,,,
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Calvin,,,,,
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Delvin,,,,,
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Calvin,,,,,
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Delvin,,,,,
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Calvin,,,,,
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Delvin,,,,,
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Calvin,,,,,
Ada acara di bulan 11?,baseline,Delvin,,,,,
Ada acara di bulan 11?,baseline,Calvin,,,,,
Ada acara di bulan 11?,engineered,Delvin,,,,,
Ada acara di bulan 11?,engineered,Calvin,,,,,
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,Delvin,,,,,
