query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Apa saja webinar UIB bulan Oktober 2025?,baseline,A,3,1,4,3,0
Apa saja webinar UIB bulan Oktober 2025?,baseline,B,2,1,2,3,0
Apa saja webinar UIB bulan Oktober 2025?,engineered,A,4,0,4,3,1
Apa saja webinar UIB bulan Oktober 2025?,engineered,B,4,1,3,5,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,A,2,1,2,4,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,B,3,1,4,3,0
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,A,4,1,3,4,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,B,5,0,4,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,A,4,0,2,2,0
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,B,3,0,4,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,A,4,1,5,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,B,4,1,4,4,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,A,3,1,5,3,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,B,4,1,2,4,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,A,4,1,4,3,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,B,3,1,5,5,1
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,A,4,1,4,3,0
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,B,3,1,2,2,0
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,A,4,0,4,5,1
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,B,5,1,4,4,1
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,A,5,1,4,4,1
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,B,3,1,4,2,1
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,A,3,1,5,5,1
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,B,4,1,4,4,0
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,A,2,0,3,4,0
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,B,3,1,2,2,0
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,A,4,1,5,4,1
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,B,4,0,4,4,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,A,3,1,3,4,1
