query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Apa saja webinar UIB bulan Oktober 2025?,baseline,Delvin,4,1,3,4,1
Apa saja webinar UIB bulan Oktober 2025?,baseline,Calvin,4,0,3,3,0
Apa saja webinar UIB bulan Oktober 2025?,engineered,Delvin,4,1,4,3,1
Apa saja webinar UIB bulan Oktober 2025?,engineered,Calvin,3,0,3,5,0
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Delvin,4,0,3,3,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Calvin,2,1,4,4,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Delvin,5,0,3,3,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Calvin,5,1,4,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Delvin,4,0,3,3,1
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Calvin,3,1,3,3,1
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Delvin,4,0,3,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Calvin,3,1,4,4,1
Ada event bertema â€˜Artificial Intelligenceâ€™ di UIB antara Oktoberâ€“Desember 2025?,baseline,Delvin,3,1,4,3,1
Ada event bertema â€˜Artificial Intelligenceâ€™ di UIB antara Oktoberâ€“Desember 2025?,baseline,Calvin,2,1,4,3,1
Ada event bertema â€˜Artificial Intelligenceâ€™ di UIB antara Oktoberâ€“Desember 2025?,engineered,Delvin,4,1,5,4,1
Ada event bertema â€˜Artificial Intelligenceâ€™ di UIB antara Oktoberâ€“Desember 2025?,engineered,Calvin,3,1,5,4,1
Kapan dan di mana â€˜Sertifikasi Digital Marketing for Businessâ€™ diadakan?,baseline,Delvin,4,1,2,4,1
Kapan dan di mana â€˜Sertifikasi Digital Marketing for Businessâ€™ diadakan?,baseline,Calvin,4,1,3,4,1
Kapan dan di mana â€˜Sertifikasi Digital Marketing for Businessâ€™ diadakan?,engineered,Delvin,5,1,3,3,1
Kapan dan di mana â€˜Sertifikasi Digital Marketing for Businessâ€™ diadakan?,engineered,Calvin,4,1,4,5,1
Bagaimana cara mendaftar webinar â€˜Future of Artificial Intelligence in Educationâ€™? Sertakan tautan jika ada.,baseline,Delvin,4,1,3,2,1
Bagaimana cara mendaftar webinar â€˜Future of Artificial Intelligence in Educationâ€™? Sertakan tautan jika ada.,baseline,Calvin,4,1,4,3,1
Bagaimana cara mendaftar webinar â€˜Future of Artificial Intelligence in Educationâ€™? Sertakan tautan jika ada.,engineered,Delvin,2,1,3,5,1
Bagaimana cara mendaftar webinar â€˜Future of Artificial Intelligence in Educationâ€™? Sertakan tautan jika ada.,engineered,Calvin,3,1,4,4,1
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Delvin,4,0,1,3,1
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Calvin,3,1,4,4,0
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Delvin,4,1,3,4,1
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Calvin,4,0,3,3,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Delvin,3,1,3,4,0
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Calvin,4,1,3,3,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Delvin,5,1,3,3,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Calvin,4,1,4,4,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Delvin,3,1,2,3,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Calvin,3,1,3,4,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Delvin,4,0,4,3,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Calvin,3,1,4,3,1
Ada acara di bulan 11?,baseline,Delvin,3,1,4,3,1
Ada acara di bulan 11?,baseline,Calvin,3,1,3,4,1
Ada acara di bulan 11?,engineered,Delvin,4,1,3,5,1
Ada acara di bulan 11?,engineered,Calvin,4,1,3,3,1
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,Delvin,4,0,3,3,0
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,Calvin,4,0,5,5,1
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,Delvin,3,1,4,3,1
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,Calvin,4,1,4,4,1
Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.,baseline,Delvin,4,1,4,3,0
Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.,baseline,Calvin,3,0,3,2,1
Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.,engineered,Delvin,3,1,4,3,1
Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.,engineered,Calvin,3,1,3,5,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal â†’ akhir).,baseline,Delvin,2,0,5,3,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal â†’ akhir).,baseline,Calvin,3,1,4,5,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal â†’ akhir).,engineered,Delvin,3,1,4,5,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal â†’ akhir).,engineered,Calvin,4,0,4,4,1
Tampilkan event UIB bertipe â€˜webinarâ€™ dan â€˜certificationâ€™ di November 2025, pisahkan per tipe.,baseline,Delvin,3,1,3,4,1
Tampilkan event UIB bertipe â€˜webinarâ€™ dan â€˜certificationâ€™ di November 2025, pisahkan per tipe.,baseline,Calvin,3,1,4,2,1
Tampilkan event UIB bertipe â€˜webinarâ€™ dan â€˜certificationâ€™ di November 2025, pisahkan per tipe.,engineered,Delvin,4,1,4,3,1
Tampilkan event UIB bertipe â€˜webinarâ€™ dan â€˜certificationâ€™ di November 2025, pisahkan per tipe.,engineered,Calvin,3,0,5,4,1
