query,mode,title,label
Apa saja webinar UIB bulan Oktober 2025?,baseline,Future of Artificial Intelligence in Education,TP
Apa saja webinar UIB bulan Oktober 2025?,baseline,Sustainable Business Practices in ASEAN,TP
Apa saja webinar UIB bulan Oktober 2025?,engineered,Future of Artificial Intelligence in Education,TP
Apa saja webinar UIB bulan Oktober 2025?,engineered,Sustainable Business Practices in ASEAN,TP
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Professional Data Analytics Certificate,TP
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Cybersecurity Professional Certification,TP
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Professional Data Analytics Certificate,TP
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Cybersecurity Professional Certification,TP
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Year-End Tech Trends Review 2025,TP
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Advanced Web Development with Modern Stack,FN
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Mobile App Development with Flutter,FN
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Year-End Tech Trends Review 2025,TP
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Mobile App Development with Flutter,FN
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Advanced Web Development with Modern Stack,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Future of Artificial Intelligence in Education,TP
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Certified Cloud Computing Specialist,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Sustainable Business Practices in ASEAN,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Year-End Tech Trends Review 2025,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Sertifikasi Digital Marketing for Business,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Sertifikasi Akuntansi Manajemen Profesional (CMA),FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Sertifikasi Bahasa Inggris TOEFL ITP,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Sertifikasi Project Management Professional (PMP),FN
