query,mode,duration_ms,model,error,response
Apa saja webinar UIB bulan Oktober 2025?,baseline,1821,gemini-2.0-flash,,"Berikut webinar UIB untuk Oktober 2025 (Data resmi UIB_OFFICIAL):

1. WEBINAR - Future of Artificial Intelligence in Education - Tanggal: 12 Oktober 2025 - Waktu: 14:00-16:00 - Lokasi: Zoom Meeting - Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum - Kontak: info@uib.ac.id (Kontak Umum UIB)
2. WEBINAR - Sustainable Business Practices in ASEAN - Tanggal: 25 Oktober 2025 - Waktu: 13:00-15:30 - Lokasi: Microsoft Teams - Biaya: Gratis untuk seluruh peserta - Kontak: info@uib.ac.id (Kontak Umum UIB)"
Apa saja webinar UIB bulan Oktober 2025?,engineered,1590,gemini-2.0-flash,,"Berikut webinar UIB untuk Oktober 2025 (Data resmi UIB_OFFICIAL):
1. WEBINAR - Future of Artificial Intelligence in Education - Tanggal: 12 Oktober 2025 - Waktu: 14:00-16:00 - Lokasi: Zoom Meeting - Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum - Kontak: tautan tidak tersedia dalam data
2. WEBINAR - Sustainable Business Practices in ASEAN - Tanggal: 25 Oktober 2025 - Waktu: 13:00-15:30 - Lokasi: Microsoft Teams - Biaya: Gratis untuk seluruh peserta - Kontak: tautan tidak tersedia dalam data"
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,1642,gemini-2.0-flash,,"Berikut sertifikasi UIB untuk November 2025 (Data resmi UIB_OFFICIAL):
1. Professional Data Analytics Certificate - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2. Cybersecurity Professional Certification - Tanggal: 2025-11-22 - Waktu: 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id"
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,1548,gemini-2.0-flash,,"Berikut sertifikasi UIB untuk November 2025 (Data resmi UIB_OFFICIAL):
1. Professional Data Analytics Certificate - Tanggal: 8 November 2025 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2. Cybersecurity Professional Certification - Tanggal: 22 November 2025 - Waktu: 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id"
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,1286,gemini-2.0-flash,,"Berikut event UIB yang gratis pada Desember 2025 (Data resmi UIB_OFFICIAL):

1. WEBINAR - Year-End Tech Trends Review 2025
   - Tanggal: 2025-12-13
   - Waktu: 20:00-22:00
   - Lokasi: UIB Virtual Campus
   - Biaya: Gratis untuk semua peserta
   - Kontak: Tautan tidak tersedia dalam data"
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,1255,gemini-2.0-flash,,"Berikut event UIB yang gratis pada Desember 2025 (Data resmi UIB_OFFICIAL):

1. WEBINAR - Year-End Tech Trends Review 2025 - Tanggal: 2025-12-13 - Waktu: 20:00-22:00 - Lokasi: UIB Virtual Campus - Biaya: Gratis untuk semua peserta - Kontak: Tidak tersedia dalam data."
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,1499,gemini-2.0-flash,,"Berikut event UIB bertema ‘Artificial Intelligence’ antara Oktober–Desember 2025 (Data resmi UIB_OFFICIAL):

1. WEBINAR - Future of Artificial Intelligence in Education - Tanggal: 2025-10-12 - Waktu: 14:00-16:00 - Lokasi: Zoom Meeting - Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum - Kontak: Tidak tersedia dalam data."
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,1510,gemini-2.0-flash,,"Berikut event UIB bertema 'Artificial Intelligence' antara Oktober–Desember 2025 (Data resmi UIB_OFFICIAL):

1. WEBINAR - Future of Artificial Intelligence in Education
   * Tanggal: 2025-10-12
   * Waktu: 14:00-16:00
   * Platform: Zoom Meeting
   * Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
   * Kontak: Tidak tersedia dalam data."
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,1324,gemini-2.0-flash,,"Berikut detail Sertifikasi Digital Marketing for Business (Data resmi UIB_OFFICIAL):

*   **Nama:** Sertifikasi Digital Marketing for Business
*   **Tanggal:** 2025-10-05
*   **Waktu:** 09:00-16:00
*   **Lokasi:** Gedung UIB Tower, Lantai 8
*   **Biaya:** Rp 500.000
*   **Kontak:** marketing@uib.ac.id"
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,1422,gemini-2.0-flash,,"Berikut detail Sertifikasi Digital Marketing for Business (Data resmi UIB_OFFICIAL):
*   **Nama:** Sertifikasi Digital Marketing for Business
*   **Tanggal:** 2025-10-05
*   **Waktu:** 09:00-16:00
*   **Lokasi:** Gedung UIB Tower, Lantai 8
*   **Biaya:** Rp 500.000
*   **Kontak:** marketing@uib.ac.id"
